"월별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"월별(1)",가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업
"월별(1)",전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%)
"합계",24764,7,17057,5,96856,29,192465,58,58153,18,6622,2,127690,39
"1월",2211,7,1861,6,10785,33,18041,55,6294,19,219,1,11528,35
"2월",2244,7,1940,6,10741,33,17918,55,6648,20,234,1,11036,34
"3월",1949,7,1443,5,8406,31,15316,56,4968,18,231,1,10117,37
"4월",1979,7,1367,5,7786,29,15285,58,3989,15,312,1,10984,42
"5월",1865,8,1131,5,6553,28,14092,60,3188,13,668,3,10236,43
"6월",1846,8,1127,5,6599,27,14881,61,3776,15,539,2,10566,43
"7월",1902,7,1229,5,7029,28,15212,60,4317,17,386,2,10509,41
"8월",2633,9,1501,5,8401,29,16868,57,6478,22,429,1,9961,34
"9월",2083,8,1331,5,7225,27,16474,61,5442,20,508,2,10524,39
"10월",1909,8,1091,4,6780,27,14944,60,3808,15,922,4,10214,41
"11월",2023,7,1337,5,7923,28,16750,60,4528,16,1091,4,11131,40
"12월",2120,7,1699,6,8628,30,16684,57,4717,16,1083,4,10884,37
