"지역","연령(만)","성별","신장","체중","BMI","체지방률","허리둘레","윗몸일으키기","악력(D)","악력(ND)","제자리멀리뛰기","20m 왕복오래달리기","좌전굴","10m 왕복달리기","연령집단"
1,19,1,164.3,58.04,21.5006840284814,23.6,75.2,46,29,28.7,212,32,20.3,9.98,1
1,19,1,167.9,52.9,18.7652467629949,11.7,69.5,38,27.1,26.5,224,26,3.7,11.68,1
1,19,1,171.2,51.2,17.4687745654642,12.1,67.9,36,26.6,24.6,210,44,7.4,10.61,1
1,19,1,172.6,57.7,19.3684216179782,17.1,73,28,37.3,37.5,179,34,-11.2,12.1,1
1,19,1,172.7,59.8,20.0500984231838,8.9,71.2,39,38.2,35.7,207,54,-9.5,9.9,1
1,19,1,175.5,73.6,23.895909935796,18.3,83,50,40.2,37.4,234,50,15.2,9.77,1
1,19,1,178.3,100.2,31.5184633081993,23.3,99.1,47,56.7,54,192,62,8.7,10.45,1
1,19,2,155.2,44.7,18.5576974173664,32,65.5,19,15.7,15,120,16,19.9,13.65,1
1,19,2,156.1,46.9,19.2471768413372,28.5,65.5,11,20.1,18.9,152,24,11.6,12.9,1
1,19,2,157.1,69.1,27.9979141351379,33.2,83,10,23.9,19,121,13,7.1,14.9,1
1,19,2,158.2,47,18.7795378155961,22.8,68.2,30,18.9,16,115,13,14.1,17.39,1
1,19,2,158.8,43.4,17.2103115938811,24.4,60.8,26,28.8,21.7,150,29,23.5,11.18,1
1,19,2,162,57.2,21.7954580094498,30.9,82.6,24,25.6,27.4,149,32,10.5,13.19,1
1,19,2,162.7,59.02,22.2958533565988,26.1,74.6,33,21.3,20.2,164,23,20.9,13.05,1
1,19,2,165.9,49.8,18.0940826899579,18.6,64.5,32,25.3,26.3,165,38,25.3,11.44,1
1,19,2,169.4,58.4,20.3510131598572,35.6,73,30,25.8,22.3,111,15,-8,13.68,1
1,20,1,163.1,70,26.3141967723006,21.6,86.8,37,47,52.7,240,41,9.8,9.96,1
1,20,1,166,54.52,19.7851647554072,13.9,73.6,61,40.5,36.2,254,53,17.3,9.13,1
1,20,1,170,60,20.7612456747405,16.7,75,52,45,41,235,40,-20,11,1
