"주택의종류","전용면적","입주형태","연령","혼인상태","주된활동상태","직업","연간소득","연간경상소득","가중치(weight)"
1,10,1,34,4,1,8,2207,2174,1051
1,10,1,37,2,1,8,1825,1739,1087
1,10,1,39,2,1,9,3077,3064,1087
1,10,1,39,2,3,6,437,312,980
1,10,1,41,1,1,8,2100,1514,3755
1,10,1,43,2,3,8,2486,2418,2781
1,10,1,43,4,3,6,2075,2015,1184
1,10,1,46,2,3,4,1558,1463,1087
1,10,1,48,1,6,,671,500,1087
1,10,1,49,4,1,9,391,376,4867
1,10,1,52,2,3,5,1290,1277,915
1,10,1,53,2,3,6,167,125,980
1,10,1,53,3,3,5,3157,3043,3755
1,10,1,54,2,6,,1484,1430,1910
1,10,1,56,4,6,,1747,1599,1910
1,10,1,57,2,6,,861,787,1051
1,10,1,58,2,2,5,4737,4518,1716
1,10,1,63,2,3,4,1396,1267,4023
1,10,1,66,2,3,6,3970,3954,980
1,10,1,66,2,6,,894,894,4023
1,10,1,66,3,4,,1131,944,3755
1,10,1,67,3,6,,890,778,3755
1,10,1,70,2,3,6,2036,1998,1184
1,10,1,71,2,3,6,1374,1051,980
1,10,1,71,3,4,,396,394,3755
1,10,1,72,1,4,,957,874,3629
1,10,1,73,2,3,6,2399,2221,980
1,10,1,73,3,4,,228,160,3755
1,10,1,75,2,3,5,647,589,1910
1,10,1,75,2,3,6,495,360,1467
1,10,1,75,3,1,4,847,749,1051
1,10,1,77,3,4,,460,353,3755
1,10,1,78,2,1,9,408,335,1087
1,10,1,78,2,6,,588,388,1413
1,10,1,78,3,6,,1572,526,3755
1,10,1,80,3,4,,923,613,3755
1,10,2,19,1,5,,313,296,3039
1,10,2,21,1,1,4,1536,1456,8611
1,10,2,22,1,1,3,5425,5253,2781
1,10,2,26,1,1,1,2258,2215,2781
1,10,2,26,1,6,,451,430,4867
1,10,2,26,4,1,9,4865,4681,915
1,10,2,27,1,1,2,3568,3489,14094
1,10,2,27,1,1,3,4752,4587,4023
1,10,2,29,2,1,3,5376,5308,2781
1,10,2,29,2,1,5,4119,3744,1295
1,10,2,30,2,1,1,6768,6590,2781
1,10,2,30,2,1,7,4153,3883,2781
1,10,2,32,2,1,2,1701,1671,2781
1,10,2,33,1,1,2,3274,3087,14094
1,10,2,33,1,1,3,1134,1134,3629
1,10,2,33,1,1,5,3690,3445,2781
1,10,2,33,2,1,4,5000,5000,1716
1,10,2,34,2,1,2,4506,4485,2781
1,10,2,34,4,6,,3620,3150,3629
1,10,2,35,2,3,4,2414,2320,2781
1,10,2,35,2,4,,1850,1850,2781
1,10,2,36,1,1,1,3960,3758,8611
1,10,2,36,1,1,7,2788,2788,8611
1,10,2,36,1,1,7,3325,3130,2781
1,10,2,36,2,1,7,1742,1742,2781
1,10,2,36,2,1,8,5253,5138,1051
1,10,2,36,3,1,4,3585,3585,2781
1,10,2,36,4,1,4,2345,1906,2781
1,10,2,37,2,1,2,1296,1141,1716
1,10,2,37,2,1,9,3706,3541,1051
1,10,2,37,4,6,,1358,1280,3629
1,10,2,38,4,1,5,1145,1112,1210
1,10,2,40,2,1,7,3624,3564,1683
1,10,2,40,2,1,8,3295,3247,1087
1,10,2,40,2,2,7,3015,3000,2781
1,10,2,41,2,1,9,3252,3139,1910
1,10,2,44,2,3,5,3103,2945,1716
1,10,2,45,1,1,8,2889,2889,8611
1,10,2,45,2,1,7,2075,2063,2781
1,10,2,45,2,1,9,8804,8235,2781
1,10,2,45,2,3,7,2524,2485,1051
