"월별(1)",2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"월별(1)",가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,가정용,가정용,공공용,공공용,서비스업,서비스업,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업,소계,소계,소계,소계,소계,소계,소계,소계,농림수산업,농림수산업,광 업,광 업,제조업,제조업
"월별(1)",전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%),전력사용량  (MWh),점유율 (%)
"합계",22706,8,9797,4,76772,28,166420,60,36730,13,4974,2,124716,45,23148,8,11131,4,75920,26,179336,62,43979,15,5437,2,129920,45,22866,8,11989,4,78000,26,189517,63,46171,15,9251,3,134095,44,23090,7,12374,4,82952,27,190151,62,46399,15,10696,3,133056,43,23367,7,12892,4,86271,28,191178,61,47956,15,11832,4,131390,42,24506,8,10284,3,82079,26,198664,63,52155,17,10838,3,135671,43,24402,8,14531,5,88695,28,193646,60,55637,17,7827,2,130182,41,24764,7,17057,5,96856,29,192465,58,58153,18,6622,2,127690,39
"1월",2087,8,1160,4,9141,33,15381,55,3874,14,280,1,11227,40,2052,7,1226,4,8736,31,16140,57,4486,16,416,1,11238,40,2066,7,1414,5,8938,30,17857,59,5043,17,730,2,12084,40,2024,7,1368,4,9375,31,17650,58,4825,16,727,2,12098,40,2138,7,1548,5,9704,31,18248,58,5230,17,1026,3,11992,38,1869,6,1055,4,8851,30,17768,60,5122,17,868,3,11778,40,2180,7,1524,5,9266,30,18432,59,5343,17,677,2,12412,40,2211,7,1861,6,10785,33,18041,55,6294,19,219,1,11528,35
"2월",2103,8,1109,4,9252,34,14983,55,4727,17,279,1,9977,36,2103,7,1250,4,8684,31,16079,57,5026,18,316,1,10737,38,2060,7,1322,5,8900,30,17000,58,5309,18,626,2,11065,38,2127,7,1316,4,9293,31,16971,57,5023,17,822,3,11126,37,2072,7,1416,5,9410,31,17191,57,5041,17,823,3,11327,38,1878,6,1139,4,9184,31,17220,59,5692,19,951,3,10577,36,2266,7,1573,5,9534,30,18332,58,6224,20,624,2,11484,36,2244,7,1940,6,10741,33,17918,55,6648,20,234,1,11036,34
"3월",1741,7,879,4,7398,30,14507,59,3667,15,453,2,10387,42,1851,7,1083,4,7316,28,15587,60,4250,16,493,2,10844,42,1781,7,1039,4,7022,27,16077,62,4224,16,722,3,11131,43,1797,7,1131,4,7888,29,16686,61,4235,15,1037,4,11414,42,1871,7,1202,4,8115,30,15692,58,4254,16,1145,4,10293,38,1884,7,964,3,7858,29,16861,61,4547,16,1108,4,11206,41,1883,7,1252,4,8053,28,17285,61,4861,17,884,3,11540,41,1949,7,1443,5,8406,31,15316,56,4968,18,231,1,10117,37
"4월",1857,8,876,4,6839,28,14656,60,3329,14,436,2,10891,45,1937,8,1081,4,6552,27,14604,60,3432,14,482,2,10690,44,1857,7,1013,4,6477,25,16170,63,3785,15,703,3,11682,46,1889,7,1027,4,6427,25,15963,63,3478,14,955,4,11530,46,1938,7,1152,4,7775,29,15668,59,3560,13,1016,4,11092,42,1944,7,840,3,7012,27,16262,62,3658,14,965,4,11639,45,2030,7,1224,4,7629,28,16614,60,4118,15,653,2,11843,43,1979,7,1367,5,7786,29,15285,58,3989,15,312,1,10984,42
"5월",1787,9,653,3,5365,26,12755,62,2162,11,453,2,10140,49,1811,9,706,3,5026,25,12920,63,2580,13,494,2,9846,48,1813,8,884,4,5570,24,15112,65,3082,13,832,4,11198,48,1861,8,829,4,5719,25,14909,64,2837,12,960,4,11112,48,1962,8,892,4,6522,28,14151,60,2984,13,944,4,10223,43,1963,9,690,3,5515,24,14599,64,2913,13,995,4,10691,47,1899,8,900,4,6303,27,14270,61,3046,13,631,3,10593,45,1865,8,1131,5,6553,28,14092,60,3188,13,668,3,10236,43
"6월",1796,9,609,3,4748,24,12768,64,2025,10,448,2,10295,52,1794,9,660,3,4707,23,13736,66,2872,14,447,2,10417,50,1789,8,814,4,4754,21,14865,67,2861,13,734,3,11270,51,1825,8,805,4,5181,23,14880,66,3132,14,830,4,10918,48,1683,7,855,4,5874,25,15372,65,3522,15,974,4,10876,46,1984,8,690,3,5170,22,15573,67,3599,15,914,4,11060,47,1873,8,913,4,5955,24,16144,65,4373,18,2227,9,9544,38,1846,8,1127,5,6599,27,14881,61,3776,15,539,2,10566,43
